text,char,flags,length,unk
[M:T00],0xc000,0x0000,0x0000,0x0000
[M:I0402],0xc001,0x0000,0x0000,0x0000
[M:I0403],0xc002,0x0000,0x0000,0x0000
[M:I0404],0xc003,0x0000,0x0000,0x0000
[M:I0405],0xc004,0x0000,0x0000,0x0000
[M:I0406],0xc005,0x0000,0x0000,0x0000
[M:I0801],0xc006,0x0000,0x0000,0x0000
[M:I0802],0xc007,0x0000,0x0000,0x0000
[M:I0803],0xc008,0x0000,0x0000,0x0000
[M:I0804],0xc009,0x0000,0x0000,0x0000
[M:I0805],0xc00a,0x0000,0x0000,0x0000
[M:I0806],0xc00b,0x0000,0x0000,0x0000
[M:I1201],0xc00c,0x0000,0x0000,0x0000
[M:I1202],0xc00d,0x0000,0x0000,0x0000
[M:I1203],0xc00e,0x0000,0x0000,0x0000
[M:I0401],0xc00f,0x0000,0x0000,0x0000
[M:I0501],0xc010,0x0000,0x0000,0x0000
[M:I0601],0xc011,0x0000,0x0000,0x0000
[M:I1501],0xc012,0x0000,0x0000,0x0000
[M:I1502],0xc013,0x0000,0x0000,0x0000
[M:I0701],0xc014,0x0000,0x0000,0x0000
[M:I1601],0xc015,0x0000,0x0000,0x0000
[M:MUSICS],0xc016,0x0000,0x0000,0x0000
[M:I0705],0xc017,0x0000,0x0000,0x0000
[M:I0702],0xc018,0x0000,0x0000,0x0000
[M:I0703],0xc019,0x0000,0x0000,0x0000
[M:I0704],0xc01a,0x0000,0x0000,0x0000
[M:I1301],0xc01b,0x0000,0x0000,0x0000
[M:I1302],0xc01c,0x0000,0x0000,0x0000
[M:I1303],0xc01d,0x0000,0x0000,0x0000
[M:I1001],0xc01e,0x0000,0x0000,0x0000
[M:I0301],0xc01f,0x0000,0x0000,0x0000
[M:I0302],0xc020,0x0000,0x0000,0x0000
[M:I0201],0xc021,0x0000,0x0000,0x0000
[M:I0202],0xc022,0x0000,0x0000,0x0000
[M:I0203],0xc023,0x0000,0x0000,0x0000
[M:I1010],0xc024,0x0000,0x0000,0x0000
[M:I1011],0xc025,0x0000,0x0000,0x0000
[M:I1013],0xc026,0x0000,0x0000,0x0000
[M:I1002],0xc027,0x0000,0x0000,0x0000
[M:I1003],0xc028,0x0000,0x0000,0x0000
[M:I1004],0xc029,0x0000,0x0000,0x0000
[M:I1012],0xc02a,0x0000,0x0000,0x0000
[M:I1005],0xc02b,0x0000,0x0000,0x0000
[M:I1006],0xc02c,0x0000,0x0000,0x0000
[M:I1007],0xc02d,0x0000,0x0000,0x0000
[M:I1008],0xc02e,0x0000,0x0000,0x0000
[M:I1009],0xc02f,0x0000,0x0000,0x0000
[M:IDL01],0xc030,0x0000,0x0000,0x0000
