text,char,flags,length,unk
[st_dungeon_n_a_f:],0xf800,0x0001,0x0001,0x0000
[st_dungeon_n_a_s:],0xf800,0x0001,0x0001,0x0000
[st_rank:],0xf800,0x0001,0x0001,0x0000
[st_floor:],0xf800,0x0001,0x0001,0x0000
[st_money:],0xf800,0x0001,0x0001,0x0000
[st_my_money:],0xf800,0x0001,0x0001,0x0000
[st_bank:],0xf800,0x0001,0x0001,0x0000
[st_shop_price:],0xf800,0x0001,0x0001,0x0000
[M:T00],0xc000,0x0000,0x0000,0x0000
[M:I01],0xc001,0x0000,0x0000,0x0001
[M:I02],0xc002,0x0000,0x0000,0x0002
[M:I03],0xc003,0x0000,0x0000,0x0003
[M:I04],0xc004,0x0000,0x0000,0x0004
[M:I05],0xc005,0x0000,0x0000,0x0005
[M:I06],0xc006,0x0000,0x0000,0x0006
[M:I07],0xc007,0x0000,0x0000,0x0007
[M:I08],0xc008,0x0000,0x0000,0x0008
[M:I09],0xc009,0x0000,0x0000,0x0009
[M:I10],0xc00a,0x0000,0x0000,0x000a
[M:I11],0xc00b,0x0000,0x0000,0x000b
[M:I12],0xc00c,0x0000,0x0000,0x000c
[M:I13],0xc00d,0x0000,0x0000,0x000d
[M:I14],0xc00e,0x0000,0x0000,0x000e
[M:I15],0xc00f,0x0000,0x0000,0x000f
[M:I16],0xc010,0x0000,0x0000,0x0010
[M:I17],0xc011,0x0000,0x0000,0x0011
[M:I18],0xc012,0x0000,0x0000,0x0012
[M:I19],0xc013,0x0000,0x0000,0x0013
[M:I20],0xc014,0x0000,0x0000,0x0014
[M:I21],0xc015,0x0000,0x0000,0x0015
[M:I22],0xc016,0x0000,0x0000,0x0016
[M:I23],0xc017,0x0000,0x0000,0x0017
[M:I24],0xc018,0x0000,0x0000,0x0018
[M:I25],0xc019,0x0000,0x0000,0x0019
[M:I26],0xc01a,0x0000,0x0000,0x001a
[M:I27],0xc01b,0x0000,0x0000,0x001b
[M:I28],0xc01c,0x0000,0x0000,0x001c
[M:I29],0xc01d,0x0000,0x0000,0x001d
[M:I30],0xc01e,0x0000,0x0000,0x001e
[M:I31],0xc01f,0x0000,0x0000,0x001f
[M:I32],0xc020,0x0000,0x0000,0x0020
[M:I33],0xc021,0x0000,0x0000,0x0021
[M:I34],0xc022,0x0000,0x0000,0x0022
[M:I35],0xc023,0x0000,0x0000,0x0023
[M:I36],0xc024,0x0000,0x0000,0x0024
[M:I37],0xc025,0x0000,0x0000,0x0025
[M:I38],0xc026,0x0000,0x0000,0x0026
[M:I39],0xc027,0x0000,0x0000,0x0027
[M:I40],0xc028,0x0000,0x0000,0x0028
[M:I41],0xc029,0x0000,0x0000,0x0029
[M:I42],0xc02a,0x0000,0x0000,0x002a
[M:H0000],0xc02b,0x0000,0x0000,0x002b
[M:H001],0xc02c,0x0000,0x0000,0x002c
[M:H002],0xc02d,0x0000,0x0000,0x002d
[M:H003],0xc02e,0x0000,0x0000,0x002e
[M:H004],0xc02f,0x0000,0x0000,0x002f
[M:H005],0xc030,0x0000,0x0000,0x0030
[M:H006],0xc031,0x0000,0x0000,0x0031
[M:H007],0xc032,0x0000,0x0000,0x0032
[M:H010],0xc033,0x0000,0x0000,0x0033
[M:H011],0xc034,0x0000,0x0000,0x0034
[M:H012],0xc035,0x0000,0x0000,0x0035
[M:H013],0xc036,0x0000,0x0000,0x0036
[M:H014],0xc037,0x0000,0x0000,0x0037
[M:H021],0xc038,0x0000,0x0000,0x0038
[M:H022],0xc039,0x0000,0x0000,0x0039
[M:H023],0xc03a,0x0000,0x0000,0x003a
[M:H024],0xc03b,0x0000,0x0000,0x003b
[M:H025],0xc03c,0x0000,0x0000,0x003c
[M:H026],0xc03d,0x0000,0x0000,0x003d
[M:H029],0xc03e,0x0000,0x0000,0x003e
[M:H030],0xc03f,0x0000,0x0000,0x003f
[M:H031],0xc040,0x0000,0x0000,0x0040
[M:H032],0xc041,0x0000,0x0000,0x0041
[M:H033],0xc042,0x0000,0x0000,0x0042
[M:H037],0xc043,0x0000,0x0000,0x0043
[M:H038],0xc044,0x0000,0x0000,0x0044
[M:H039],0xc045,0x0000,0x0000,0x0045
[M:H040],0xc046,0x0000,0x0000,0x0046
[M:H041],0xc047,0x0000,0x0000,0x0047
[M:H042],0xc048,0x0000,0x0000,0x0048
[M:H043],0xc049,0x0000,0x0000,0x0049
[M:H044],0xc04a,0x0000,0x0000,0x004a
[M:H045],0xc04b,0x0000,0x0000,0x004b
[M:H046],0xc04c,0x0000,0x0000,0x004c
[M:H047],0xc04d,0x0000,0x0000,0x004d
[M:H048],0xc04e,0x0000,0x0000,0x004e
[M:H049],0xc04f,0x0000,0x0000,0x004f
[M:H050],0xc050,0x0000,0x0000,0x0050
[M:H051],0xc051,0x0000,0x0000,0x0051
[M:H052],0xc052,0x0000,0x0000,0x0052
[M:H053],0xc053,0x0000,0x0000,0x0053
[M:H054],0xc054,0x0000,0x0000,0x0054
[M:H055],0xc055,0x0000,0x0000,0x0055
[M:H056],0xc056,0x0000,0x0000,0x0056
[M:H057],0xc057,0x0000,0x0000,0x0057
[M:H058],0xc058,0x0000,0x0000,0x0058
[M:H060],0xc059,0x0000,0x0000,0x0059
[M:H061],0xc05a,0x0000,0x0000,0x005a
[M:H062],0xc05b,0x0000,0x0000,0x005b
[M:H064],0xc05c,0x0000,0x0000,0x005c
[M:H065],0xc05d,0x0000,0x0000,0x005d
[M:H067],0xc05e,0x0000,0x0000,0x005e
[M:H068],0xc05f,0x0000,0x0000,0x005f
[M:H069],0xc060,0x0000,0x0000,0x0060
[M:H070],0xc061,0x0000,0x0000,0x0061
[M:H071],0xc062,0x0000,0x0000,0x0062
[M:H072],0xc063,0x0000,0x0000,0x0063
[M:H073],0xc064,0x0000,0x0000,0x0064
[M:H074],0xc065,0x0000,0x0000,0x0065
[M:H075],0xc066,0x0000,0x0000,0x0066
[M:H076],0xc067,0x0000,0x0000,0x0067
[M:H077],0xc068,0x0000,0x0000,0x0068
[M:H078],0xc069,0x0000,0x0000,0x0069
[M:H079],0xc06a,0x0000,0x0000,0x006a
[M:H080],0xc06b,0x0000,0x0000,0x006b
[M:H081],0xc06c,0x0000,0x0000,0x006c
[M:H082],0xc06d,0x0000,0x0000,0x006d
[M:H083],0xc06e,0x0000,0x0000,0x006e
[M:H084],0xc06f,0x0000,0x0000,0x006f
[M:H085],0xc070,0x0000,0x0000,0x0070
[M:H086],0xc071,0x0000,0x0000,0x0071
[M:H087],0xc072,0x0000,0x0000,0x0072
[M:H088],0xc073,0x0000,0x0000,0x0073
[M:H089],0xc074,0x0000,0x0000,0x0074
[M:P01],0xc075,0x0000,0x0000,0x0075
[M:P02],0xc076,0x0000,0x0000,0x0076
[M:P03],0xc077,0x0000,0x0000,0x0077
[M:P04],0xc078,0x0000,0x0000,0x0078
[M:FOT],0xc079,0x0000,0x0000,0x0079
[M:INF],0xc07a,0x0000,0x0000,0x007a
[M:SEAL],0xc07b,0x0000,0x0000,0x007b
[M:EQU],0xc07c,0x0000,0x0000,0x007c
[M:DOE1],0xc07d,0x0000,0x0000,0x007d
[M:DOE2],0xc07e,0x0000,0x0000,0x007e
[M:DOE3],0xc07f,0x0000,0x0000,0x007f
[M:DOE4],0xc080,0x0000,0x0000,0x0080
[M:CUR_SQ],0xc081,0x0000,0x0000,0x0081
[M:CUR_SQ_T],0xc082,0x0000,0x0000,0x0082
[M:Q01],0xc083,0x0000,0x0000,0x0083
[M:Q02],0xc084,0x0000,0x0000,0x0084
[M:Q03],0xc085,0x0000,0x0000,0x0085
[M:Q04],0xc086,0x0000,0x0000,0x0086
[M:Q05],0xc087,0x0000,0x0000,0x0087
[M:Q06],0xc088,0x0000,0x0000,0x0088
[M:Q07],0xc089,0x0000,0x0000,0x0089
[M:Q08],0xc08a,0x0000,0x0000,0x008a
[M:ON],0xc08b,0x0000,0x0000,0x008b
[M:OFF],0xc08c,0x0000,0x0000,0x008c
[M:UNNAMED],0xc08d,0x0000,0x0000,0x008d
[M:UNDISTINGUISH],0xc08e,0x0000,0x0000,0x008e
[M:MEKKI],0xc08f,0x0000,0x0000,0x008f
[M:CURSE],0xc090,0x0000,0x0000,0x0090
[M:INFINI],0xc091,0x0000,0x0000,0x0091
[M:EQNE],0xc092,0x0000,0x0000,0x0092
[M:EQLO],0xc093,0x0000,0x0000,0x0093
[M:DOT],0xc094,0x0000,0x0000,0x0094
[M:UP_L],0xc095,0x0000,0x0000,0x0095
[M:DOWN_L],0xc096,0x0000,0x0000,0x0096
[M:UP_S],0xc097,0x0000,0x0000,0x0097
[M:DOWN_S],0xc098,0x0000,0x0000,0x0098
[M:NEW],0xc099,0x0000,0x0000,0x0099
[M:LEADER],0xc09a,0x0000,0x0000,0x009a
[M:MANUAL],0xc09b,0x0000,0x0000,0x009b
[M:SNM],0xc09c,0x0000,0x0000,0x009c
[M:SSO],0xc09d,0x0000,0x0000,0x009d
[M:CUTRL],0xc09e,0x0000,0x0000,0x009e
[M:CUTRR],0xc09f,0x0000,0x0000,0x009f
[M:CUU],0xc0a0,0x0000,0x0000,0x00a0
[M:CUD],0xc0a1,0x0000,0x0000,0x00a1
[M:CUL],0xc0a2,0x0000,0x0000,0x00a2
[M:CUR],0xc0a3,0x0000,0x0000,0x00a3
[M:HELP],0xc0a4,0x0000,0x0000,0x00a4
[M:BTN00],0xc0a5,0x0000,0x0000,0x00a5
[M:BTN01],0xc0a6,0x0000,0x0000,0x00a6
[M:BTN11],0xc0a7,0x0000,0x0000,0x00a7
[M:BTN12],0xc0a8,0x0000,0x0000,0x00a8
[M:BTN13],0xc0a9,0x0000,0x0000,0x00a9
[M:BTN14],0xc0aa,0x0000,0x0000,0x00aa
[M:BTN21],0xc0ab,0x0000,0x0000,0x00ab
[M:BTN22],0xc0ac,0x0000,0x0000,0x00ac
[M:BTN40],0xc0ad,0x0000,0x0000,0x00ad
[M:BTN41],0xc0ae,0x0000,0x0000,0x00ae
[M:BTN42],0xc0af,0x0000,0x0000,0x00af
[M:BTN43],0xc0b0,0x0000,0x0000,0x00b0
[M:BTN44],0xc0b1,0x0000,0x0000,0x00b1
[M:BTN45],0xc0b2,0x0000,0x0000,0x00b2
[M:BTN46],0xc0b3,0x0000,0x0000,0x00b3
[M:BTN51],0xc0b4,0x0000,0x0000,0x00b4
[M:BTN61],0xc0b5,0x0000,0x0000,0x00b5
[M:BTN71],0xc0b6,0x0000,0x0000,0x00b6
[M:BTN72],0xc0b7,0x0000,0x0000,0x00b7
[M:OP01],0xc0b8,0x0000,0x0000,0x00b8
[M:OP02],0xc0b9,0x0000,0x0000,0x00b9
[M:OP03],0xc0ba,0x0000,0x0000,0x00ba
[M:OP04],0xc0bb,0x0000,0x0000,0x00bb
[M:OP01A],0xc0bc,0x0000,0x0000,0x00bc
[M:OP02A],0xc0bd,0x0000,0x0000,0x00bd
[M:OP03A],0xc0be,0x0000,0x0000,0x00be
[M:OP04A],0xc0bf,0x0000,0x0000,0x00bf
[M:TP],0xc0c0,0x0000,0x0000,0x00c0
[M:COST],0xc0c1,0x0000,0x0000,0x00c1
[M:PF],0xc0c2,0x0000,0x0000,0x00c2
[M:WLCO],0xc0c3,0x0000,0x0000,0x00c3
[M:DLCD],0xc0c4,0x0000,0x0000,0x00c4
[M:KARI],0xc0c5,0x0000,0x0000,0x00c5
[M:UNUSED],0xc0c6,0x0000,0x0000,0x00c6
[M:DEBUG],0xc0c7,0x0000,0x0000,0x00c7
[M:VSHS],0xc0c8,0x0000,0x0000,0x00c8
[M:VSZS],0xc0c9,0x0000,0x0000,0x00c9
[M:VS0],0xc0ca,0x0000,0x0000,0x00ca
[M:VS1],0xc0cb,0x0000,0x0000,0x00cb
[M:VS2],0xc0cc,0x0000,0x0000,0x00cc
[M:VS3],0xc0cd,0x0000,0x0000,0x00cd
[M:VS4],0xc0ce,0x0000,0x0000,0x00ce
[M:VS5],0xc0cf,0x0000,0x0000,0x00cf
[M:VS6],0xc0d0,0x0000,0x0000,0x00d0
[M:VS7],0xc0d1,0x0000,0x0000,0x00d1
[M:VS8],0xc0d2,0x0000,0x0000,0x00d2
[M:VS9],0xc0d3,0x0000,0x0000,0x00d3
[M:VSSL],0xc0d4,0x0000,0x0000,0x00d4
[M:VSUB],0xc0d5,0x0000,0x0000,0x00d5
[M:VSPL],0xc0d6,0x0000,0x0000,0x00d6
[M:VSMN],0xc0d7,0x0000,0x0000,0x00d7
[M:VSCRS],0xc0d8,0x0000,0x0000,0x00d8
[M:VSAS],0xc0d9,0x0000,0x0000,0x00d9
[M:VSST],0xc0da,0x0000,0x0000,0x00da
[M:VSTRL],0xc0db,0x0000,0x0000,0x00db
[M:VSTRR],0xc0dc,0x0000,0x0000,0x00dc
[M:VSBRS],0xc0dd,0x0000,0x0000,0x00dd
[M:VSBRE],0xc0de,0x0000,0x0000,0x00de
[M:VSCLN],0xc0df,0x0000,0x0000,0x00df
[M:VSCN],0xc0e0,0x0000,0x0000,0x00e0
[M:VSPR],0xc0e1,0x0000,0x0000,0x00e1
[M:VSLV],0xc0e2,0x0000,0x0000,0x00e2
[M:VSHP],0xc0e3,0x0000,0x0000,0x00e3
[M:VSPP],0xc0e4,0x0000,0x0000,0x00e4
[M:VHS],0xc0e5,0x0000,0x0000,0x00e5
[M:VZS],0xc0e6,0x0000,0x0000,0x00e6
[M:V0],0xc0e7,0x0000,0x0000,0x00e7
[M:V1],0xc0e8,0x0000,0x0000,0x00e8
[M:V2],0xc0e9,0x0000,0x0000,0x00e9
[M:V3],0xc0ea,0x0000,0x0000,0x00ea
[M:V4],0xc0eb,0x0000,0x0000,0x00eb
[M:V5],0xc0ec,0x0000,0x0000,0x00ec
[M:V6],0xc0ed,0x0000,0x0000,0x00ed
[M:V7],0xc0ee,0x0000,0x0000,0x00ee
[M:V8],0xc0ef,0x0000,0x0000,0x00ef
[M:V9],0xc0f0,0x0000,0x0000,0x00f0
[M:VSL],0xc0f1,0x0000,0x0000,0x00f1
[M:VUB],0xc0f2,0x0000,0x0000,0x00f2
[M:VPL],0xc0f3,0x0000,0x0000,0x00f3
[M:VMN],0xc0f4,0x0000,0x0000,0x00f4
[M:VCRS],0xc0f5,0x0000,0x0000,0x00f5
[M:VAS],0xc0f6,0x0000,0x0000,0x00f6
[M:VST],0xc0f7,0x0000,0x0000,0x00f7
[M:VBRS],0xc0f8,0x0000,0x0000,0x00f8
[M:VBRE],0xc0f9,0x0000,0x0000,0x00f9
[M:VCLN],0xc0fa,0x0000,0x0000,0x00fa
[M:VCN],0xc0fb,0x0000,0x0000,0x00fb
[M:VPR],0xc0fc,0x0000,0x0000,0x00fc
[M:VLV],0xc0fd,0x0000,0x0000,0x00fd
[M:VHP],0xc0fe,0x0000,0x0000,0x00fe
[M:VPP],0xc0ff,0x0000,0x0000,0x00ff
