text,char,flags,length,unk
[st_dungeon:],0xf800,0x0001,0x0001,0x0090
[st_dungeon_n:],0xf800,0x0001,0x0001,0x0090
[st_dungeon_i_f:],0xf800,0x0001,0x0001,0x0090
[st_dungeon_i_s:],0xf800,0x0001,0x0001,0x0090
[st_dungeon_a_f:],0xf800,0x0001,0x0001,0x006c
[st_dungeon_a_s:],0xf800,0x0001,0x0001,0x006c
[st_dungeon_n_i_f:],0xf800,0x0001,0x0001,0x0090
[st_dungeon_n_i_s:],0xf800,0x0001,0x0001,0x0090
[st_dungeon_n_a_f:],0xf800,0x0001,0x0001,0x006c
[st_dungeon_n_a_s:],0xf800,0x0001,0x0001,0x006c
[st_rank:],0xf800,0x0001,0x0001,0x0080
[st_floor:],0xf800,0x0001,0x0001,0x0028
[st_money:],0xf800,0x0001,0x0001,0x002c
[st_my_money:],0xf800,0x0001,0x0001,0x002c
[st_bank:],0xf800,0x0001,0x0001,0x0040
[st_shop_price:],0xf800,0x0001,0x0001,0x0034
[st_world_icon:],0xf800,0x0001,0x0001,0x0010
[st_world_continent:],0xf800,0x0001,0x0001,0x0060
[st_world_place:],0xf800,0x0001,0x0001,0x0090
[st_world_area:],0xf800,0x0001,0x0001,0x0090
[st_ticket:],0xf800,0x0001,0x0001,0x0060
[st_inn:],0xf800,0x0001,0x0001,0x0060
[st_music:],0xf800,0x0001,0x0001,0x00d0
[st_team:],0xf800,0x0001,0x0001,0x0060
[st_rare_series:],0xf800,0x0001,0x0001,0x0080
[st_rare_akashi:],0xf800,0x0001,0x0001,0x0090
[M:T00],0xa000,0x0000,0x0000,0x0010
[M:I0402],0xa001,0x0000,0x0000,0x0010
[M:I0403],0xa002,0x0000,0x0000,0x0010
[M:I0404],0xa003,0x0000,0x0000,0x0010
[M:I0405],0xa004,0x0000,0x0000,0x0010
[M:I0406],0xa005,0x0000,0x0000,0x0010
[M:I0801],0xa006,0x0000,0x0000,0x0010
[M:WAKU3],0xa007,0x0000,0x0000,0x0010
[M:I0802],0xa008,0x0000,0x0000,0x0010
[M:I0803],0xa009,0x0000,0x0000,0x0010
[M:I0804],0xa00a,0x0000,0x0000,0x0010
[M:I0805],0xa00b,0x0000,0x0000,0x0010
[M:I0806],0xa00c,0x0000,0x0000,0x0010
[M:I1201],0xa00d,0x0000,0x0000,0x0010
[M:I1202],0xa00e,0x0000,0x0000,0x0010
[M:I1203],0xa00f,0x0000,0x0000,0x0010
[M:I0401],0xa010,0x0000,0x0000,0x0010
[M:I0501],0xa011,0x0000,0x0000,0x0010
[M:I0601],0xa012,0x0000,0x0000,0x0010
[M:I1501],0xa013,0x0000,0x0000,0x0010
[M:I1502],0xa014,0x0000,0x0000,0x0010
[M:I0702],0xa015,0x0000,0x0000,0x0010
[M:I1001],0xa016,0x0000,0x0000,0x0010
[M:MUSICS],0xa017,0x0000,0x0000,0x0010
[M:I0807],0xa018,0x0000,0x0000,0x0010
[M:I0808],0xa019,0x0000,0x0000,0x0010
[M:EREC],0xa01a,0x0000,0x0000,0x0010
[M:I1304],0xa01b,0x0000,0x0000,0x0010
[M:I1301],0xa01c,0x0000,0x0000,0x0010
[M:I1302],0xa01d,0x0000,0x0000,0x0010
[M:I1303],0xa01e,0x0000,0x0000,0x0010
[M:I1305],0xa01f,0x0000,0x0000,0x0010
[M:I0301],0xa020,0x0000,0x0000,0x0010
[M:I0302],0xa021,0x0000,0x0000,0x0010
[M:I0201],0xa022,0x0000,0x0000,0x0010
[M:I0202],0xa023,0x0000,0x0000,0x0010
[M:I0203],0xa024,0x0000,0x0000,0x0010
[M:I1010],0xa025,0x0000,0x0000,0x0010
[M:I1011],0xa026,0x0000,0x0000,0x0010
[M:I1002],0xa027,0x0000,0x0000,0x0010
[M:I1003],0xa028,0x0000,0x0000,0x0010
[M:I1004],0xa029,0x0000,0x0000,0x0010
